boom-boot-conf-1.2-2.el8.noarch.rpm,boom-boot-conf-1.2-2.el8.noarch.rpm
boom-boot-grub2-1.2-2.el8.noarch.rpm,boom-boot-grub2-1.2-2.el8.noarch.rpm
brotli-1.0.6-2.el8.i686.rpm,brotli-1.0.6-2.el8.i686.rpm
brotli-1.0.6-2.el8.x86_64.rpm,brotli-1.0.6-2.el8.x86_64.rpm
bsdtar-3.3.2-9.el8.x86_64.rpm,bsdtar-3.3.2-9.el8.x86_64.rpm
bubblewrap-0.4.0-1.el8.x86_64.rpm,bubblewrap-0.4.0-1.el8.x86_64.rpm
bzip2-1.0.6-26.el8.x86_64.rpm,bzip2-1.0.6-26.el8.x86_64.rpm
bzip2-devel-1.0.6-26.el8.i686.rpm,bzip2-devel-1.0.6-26.el8.i686.rpm
bzip2-devel-1.0.6-26.el8.x86_64.rpm,bzip2-devel-1.0.6-26.el8.x86_64.rpm
bzip2-libs-1.0.6-26.el8.i686.rpm,bzip2-libs-1.0.6-26.el8.i686.rpm
bzip2-libs-1.0.6-26.el8.x86_64.rpm,bzip2-libs-1.0.6-26.el8.x86_64.rpm
cachefilesd-0.10.10-4.el8.x86_64.rpm,cachefilesd-0.10.10-4.el8.x86_64.rpm
c-ares-1.13.0-5.el8.i686.rpm,c-ares-1.13.0-5.el8.i686.rpm
c-ares-1.13.0-5.el8.x86_64.rpm,c-ares-1.13.0-5.el8.x86_64.rpm
c-ares-devel-1.13.0-5.el8.i686.rpm,c-ares-devel-1.13.0-5.el8.i686.rpm
c-ares-devel-1.13.0-5.el8.x86_64.rpm,c-ares-devel-1.13.0-5.el8.x86_64.rpm
checkpolicy-2.9-1.el8.x86_64.rpm,checkpolicy-2.9-1.el8.x86_64.rpm
chkconfig-1.13-2.el8.x86_64.rpm,chkconfig-1.13-2.el8.x86_64.rpm
chrony-3.5-1.el8.x86_64.rpm,chrony-3.5-1.el8.x86_64.rpm
chrpath-0.16-7.el8.x86_64.rpm,chrpath-0.16-7.el8.x86_64.rpm
cifs-utils-6.8-3.el8.x86_64.rpm,cifs-utils-6.8-3.el8.x86_64.rpm
cockpit-224.2-1.el8.x86_64.rpm,cockpit-224.2-1.el8.x86_64.rpm
cockpit-bridge-224.2-1.el8.x86_64.rpm,cockpit-bridge-224.2-1.el8.x86_64.rpm
cockpit-doc-224.2-1.el8.noarch.rpm,cockpit-doc-224.2-1.el8.noarch.rpm
cockpit-system-224.2-1.el8.noarch.rpm,cockpit-system-224.2-1.el8.noarch.rpm
cockpit-ws-224.2-1.el8.x86_64.rpm,cockpit-ws-224.2-1.el8.x86_64.rpm
conntrack-tools-1.4.4-10.el8.x86_64.rpm,conntrack-tools-1.4.4-10.el8.x86_64.rpm
coreutils-8.30-8.el8.x86_64.rpm,coreutils-8.30-8.el8.x86_64.rpm
